Korisnicko ime,Vrsta igre,Datum igranja,Broj poena
Flinstone,Pogodi broj,Dec 28, 2018 11:11:59 AM,0
Flinstone,Kviz,Dec 28, 2018 11:12:50 AM,50
Flinstone,Kviz,Dec 28, 2018 11:13:42 AM,150
Flinstone,Loto,Dec 28, 2018 11:14:18 AM,40
Flinstone,Pogodi broj,Dec 28, 2018 11:15:02 AM,0
Agnes,Pogodi broj,Dec 28, 2018 11:18:27 AM,0
Agnes,Pogodi broj,Dec 28, 2018 11:24:29 AM,50
Agnes,Pogodi broj,Dec 28, 2018 11:25:07 AM,25
Agnes,Pogodi broj,Dec 28, 2018 11:25:56 AM,33
Agnes,Loto,Dec 28, 2018 11:26:52 AM,20
Agnes,Kviz,Dec 28, 2018 11:27:49 AM,50
Agnes,Pogodi broj,Dec 28, 2018 11:28:32 AM,0
Coyote,Pogodi broj,Dec 28, 2018 11:32:14 AM,100
Coyote,Pogodi broj,Dec 28, 2018 11:32:39 AM,0
Coyote,Pogodi broj,Dec 28, 2018 11:34:12 AM,33
Coyote,Pogodi broj,Dec 28, 2018 11:34:41 AM,0
Coyote,Kviz,Dec 28, 2018 11:36:00 AM,50
Coyote,Loto,Dec 28, 2018 11:36:38 AM,0
